event_id,customer_id,order_id,event_timestamp,event_type,session_id,device_type,zone_context,api_latency_ms,success_flag
AE00041,C0075,O00349,2025-05-24 04:19:00,track_order,S44614,Android,Riverside,670,1
AE00042,C0409,O00044,2024-09-18 07:02:00,search_route,S80779,iOS,north,524,1
AE00043,C0200,O00954,2024-11-27 18:10:00,eta_refresh,S78974,Android,WEST,287,1
AE00044,C0633,O01022,2025-06-04 17:13:00,search_route,S44218,Android,CENTRAL,588,1
AE00045,C0163,O00696,2024-10-09 22:04:00,payment_retry,S76855,iOS,Airport,555,1
AE00046,C0531,O00016,2024-10-30 13:13:00,search_route,S55883,Web,WEST,326,1
AE00047,C0063,O00159,2024-09-18 14:52:00,track_order,S29662,iOS,East,344,1
AE00048,C0306,O01222,2025-02-25 04:16:00,chat_escalated,S77519,Android,RiverSide,166,0
AE00049,C0381,O01086,2025-11-11 17:22:00,chat_opened,S99244,Android,West,113,1
AE00050,C0114,,2024-01-05 23:16:00,track_order,S64182,Android,North,545,1
AE00051,C0080,O00512,2025-10-18 21:50:00,eta_refresh,S35136,Android,Ctr,473,1
AE00052,C0326,O01080,2024-02-12 02:37:00,payment_retry,S42021,Android,north,570,0
AE00053,C0349,O00467,2024-11-28 23:28:00,delivery_instruction_update,S83805,iOS,South,255,1
AE00054,C0138,O00189,2025-05-01 02:00:00,search_route,S82990,iOS,South,73,1
AE00055,C0120,O00922,2024-09-29 23:08:00,track_order,S55056,iOS,AIRPORT,800,1
AE00056,C0556,O01180,2025-09-23 17:24:00,payment_retry,S77071,Android,north,592,0
AE00057,C0266,O00600,2025-11-03 13:54:00,track_order,S51373,Android,East,585,1
AE00058,C0187,,2025-08-26 16:54:00,search_route,S24062,iOS,AIRPORT,207,1
AE00059,C0613,,2024-12-30 21:49:00,delivery_instruction_update,S18202,Android,East,327,1
AE00060,C0490,O00551,2025-09-14 12:20:00,search_route,S69751,iOS,Central,270,1
AE00061,C0551,O01205,2025-03-31 09:18:00,track_order,S46023,iOS,Airport,418,1
AE00062,C0116,O01105,2024-01-29 07:08:00,track_order,S57220,Android,Riverside,838,1
AE00063,C0549,O00656,2024-11-06 15:04:00,delivery_instruction_update,S42721,Android,East,274,1
AE00064,C0515,O00032,2024-09-16 15:36:00,track_order,S99350,Android,Central,840,1
AE00065,C0127,O01042,2024-04-03 04:07:00,delivery_instruction_update,S23520,Android,East,287,1
AE00066,C0612,,2025-05-19 07:41:00,payment_retry,S90136,Android,RiverSide,60,0
AE00067,C0113,O00822,2025-04-28 01:07:00,eta_refresh,S57776,Android,North,594,1
AE00068,C0130,O00096,2024-04-06 13:41:00,chat_opened,S29137,Android,Ctr,60,1
AE00069,C0303,,2025-02-13 15:13:00,payment_retry,S60656,Android,South,637,0
AE00070,C0063,O00689,2025-06-11 06:37:00,chat_opened,S88132,iOS,CENTRAL,477,1
AE00071,C0565,O01092,2024-10-11 06:33:00,chat_opened,S38006,iOS,EAST,300,1
AE00072,C0006,O00802,2025-11-10 23:09:00,track_order,S37414,Android,Ctr,155,1
AE00073,C0521,,2025-08-20 22:37:00,cancel_attempt,S18062,Web,AIRPORT,392,1
AE00074,C0522,,2025-04-13 00:33:00,chat_opened,S11111,iOS,Airport,347,1
AE00075,C0439,O00245,2024-09-22 13:20:00,delivery_instruction_update,S47526,iOS,AIRPORT,463,1
AE00076,C0221,O01006,2025-04-19 07:46:00,delivery_instruction_update,S50746,Android,EAST,1005,1
AE00077,C0549,O01026,2024-06-12 20:18:00,search_route,S59198,iOS,East,546,1
AE00078,C0328,,2025-04-30 19:26:00,eta_refresh,S67487,Android,AIRPORT,853,1
AE00079,C0371,O00950,2025-02-28 12:58:00,delivery_instruction_update,S75895,iOS,RiverSide,646,1
AE00080,C0181,O00757,2024-01-08 01:12:00,search_route,S51497,Android,SOUTH,783,1
AE00081,C0182,O00976,2024-05-14 22:41:00,track_order,S96252,Android,WEST,422,1
AE00082,C0231,O00506,2025-12-03 00:20:00,search_route,S46240,iOS,East,60,1
AE00083,C0215,O00602,2024-09-12 22:25:00,track_order,S29184,iOS,East,265,1
AE00084,C0021,O01124,2024-02-22 02:18:00,delivery_instruction_update,S65491,iOS,South,688,1
AE00085,C0634,O01212,2024-03-20 07:47:00,delivery_instruction_update,S30667,Android,Airport,843,1
AE00086,C0256,,2024-03-16 01:54:00,search_route,S82272,iOS,South,813,1
AE00087,C0218,O00386,2024-06-27 01:58:00,search_route,S21479,Android,RiverSide,401,1
AE00088,C0157,,2024-06-12 21:08:00,chat_opened,S21347,Android,NORTH,561,1
AE00089,C0637,O00619,2024-01-02 17:18:00,search_route,S54109,Web,north,60,1
AE00090,C0044,O00078,2025-07-17 23:08:00,payment_retry,S76455,Android,north,820,1
AE00091,C0204,O00772,2025-12-06 06:51:00,chat_escalated,S24981,iOS,East,610,1
AE00092,C0129,O00080,2025-04-22 23:16:00,eta_refresh,S30798,Android,Ctr,522,1
AE00093,C0025,O00405,2024-02-13 15:40:00,payment_retry,S57429,iOS,EAST,440,1
AE00094,C0010,,2025-08-01 11:56:00,track_order,S78031,iOS,South,573,1
AE00095,C0428,O01057,2025-05-16 01:12:00,delivery_instruction_update,S81735,Web,WEST,399,1
AE00096,C0424,O00426,2025-02-07 00:14:00,track_order,S50881,Web,East,562,1
AE00097,C0468,O00460,2025-06-10 04:05:00,payment_retry,S77602,Android,Riverside,404,0
AE00098,C0101,,2025-01-31 14:10:00,chat_escalated,S89859,iOS,RiverSide,401,1
AE00099,C0095,O00709,2024-04-25 00:36:00,payment_retry,S33955,Android,RiverSide,138,1
AE00100,C0312,,2024-05-29 17:36:00,chat_escalated,S86296,Android,Airport,137,0
AE00101,C0149,,2025-08-08 19:08:00,cancel_attempt,S34862,Web,Central,618,1
AE00102,C0272,O01227,2025-05-13 09:40:00,chat_escalated,S62522,Android,East,982,1
AE00103,C0306,O00114,2025-10-02 10:34:00,payment_retry,S19712,Web,NORTH,551,1
AE00104,C0429,O00170,2024-03-19 16:37:00,chat_opened,S25315,Android,RiverSide,649,1
AE00105,C0540,O00428,2024-05-28 05:14:00,cancel_attempt,S64900,iOS,Riverside,153,1
AE00106,C0360,O01144,2025-01-25 13:47:00,search_route,S96181,Android,South,216,1
AE00107,C0081,O00858,2024-01-24 03:08:00,chat_escalated,S34476,Android,North,449,0
AE00108,C0307,,2024-11-27 16:15:00,eta_refresh,S13993,Web,Ctr,1285,1
AE00109,C0114,O00393,2024-07-17 12:02:00,eta_refresh,S22089,Android,AIRPORT,533,1
AE00110,C0382,O00099,2024-07-03 02:04:00,delivery_instruction_update,S87255,Web,Ctr,209,1
AE00111,C0565,O00055,2025-02-06 03:15:00,cancel_attempt,S80723,Android,RiverSide,219,1
AE00112,C0259,O00051,2025-04-24 08:45:00,search_route,S67232,Android,CENTRAL,602,1
AE00113,C0540,O01132,2024-02-27 18:25:00,search_route,S21806,Android,WEST,510,1
AE00114,C0135,O00217,2025-06-02 18:48:00,eta_refresh,S46677,iOS,WEST,464,1
AE00115,C0012,O00781,2025-12-29 23:12:00,track_order,S41963,iOS,north,546,1
AE00116,C0237,O00033,2024-07-16 05:19:00,eta_refresh,S56150,iOS,Ctr,422,1
AE00117,C0122,O00043,2024-04-11 11:39:00,track_order,S18818,Android,north,387,1
AE00118,C0459,O00059,2024-07-12 20:41:00,track_order,S52877,Android,NORTH,629,1
AE00119,C0153,O00021,2024-01-13 16:25:00,track_order,S89481,Web,north,628,1
AE00120,C0429,O00367,2024-08-09 08:11:00,delivery_instruction_update,S53741,Android,Ctr,1218,1
AE00121,C0451,O00857,2025-09-30 03:14:00,payment_retry,S19782,Android,WEST,862,0
AE00122,C0178,O00979,2025-07-16 15:36:00,eta_refresh,S68778,iOS,EAST,312,1
AE00123,C0250,O00011,2024-11-15 06:53:00,payment_retry,S15600,Android,CENTRAL,1558,1
AE00124,C0348,,2025-03-06 23:34:00,eta_refresh,S29360,Android,EAST,537,1
AE00125,C0430,O01083,2025-06-22 18:22:00,delivery_instruction_update,S35887,Android,SOUTH,510,1
AE00126,C0343,O00847,2024-12-13 22:02:00,eta_refresh,S81938,iOS,Central,433,1
AE00127,C0135,O01205,2025-11-12 01:05:00,track_order,S33676,Web,WEST,299,1
AE00128,C0139,,2025-03-21 11:03:00,chat_opened,S89566,Android,RiverSide,302,1
AE00129,C0234,O01211,2024-08-28 20:20:00,search_route,S11783,Android,South,304,1
AE00130,C0499,O00863,2024-01-12 22:22:00,delivery_instruction_update,S63325,Android,EAST,286,1
AE00131,C0344,O00395,2025-12-09 05:51:00,eta_refresh,S40076,Android,EAST,751,1
AE00132,C0504,O00741,2024-04-30 13:14:00,chat_opened,S11696,Android,WEST,375,1
AE00133,C0119,,2025-10-13 19:59:00,eta_refresh,S63204,Android,WEST,512,1
AE00134,C0074,O00216,2024-12-31 16:38:00,eta_refresh,S31994,Android,Airport,368,1
AE00135,C0447,O00395,2025-05-03 11:11:00,chat_opened,S28174,iOS,EAST,418,1
AE00136,C0324,,2025-09-05 10:01:00,payment_retry,S41186,Android,East,491,1
AE00137,C0318,O00669,2024-07-19 21:36:00,search_route,S42305,Android,North,289,1
AE00138,C0495,O00863,2024-07-04 03:28:00,delivery_instruction_update,S41862,iOS,SOUTH,641,1
AE00139,C0589,O01195,2024-04-06 09:08:00,track_order,S18650,iOS,SOUTH,263,1
AE00140,C0026,O00312,2024-07-30 22:16:00,track_order,S35078,iOS,WEST,639,1
AE00141,C0644,O00956,2024-07-21 16:03:00,track_order,S51247,Android,Ctr,901,1
AE00142,C0005,O00103,2024-04-18 04:39:00,track_order,S33250,Android,WEST,187,1
AE00143,C0025,O00124,2024-07-18 18:59:00,cancel_attempt,S88076,Android,AIRPORT,1039,1
AE00144,C0347,O00708,2024-10-08 10:04:00,eta_refresh,S80449,Android,north,648,1
AE00145,C0062,O01049,2024-08-31 23:03:00,delivery_instruction_update,S88111,iOS,CENTRAL,159,1
AE00146,C0228,O00311,2025-08-02 23:18:00,track_order,S69169,Android,NORTH,275,1
AE00147,C0128,O00020,2024-09-28 14:16:00,track_order,S54633,iOS,CENTRAL,836,1
AE00148,C0634,,2025-07-16 13:16:00,track_order,S69151,Android,AIRPORT,263,1
AE00149,C0236,O00733,2024-03-04 12:19:00,delivery_instruction_update,S97668,Android,East,191,1
AE00150,C0207,O00017,2025-12-02 08:49:00,cancel_attempt,S30266,Android,SOUTH,118,1
AE00151,C0472,O00129,2024-11-24 20:48:00,search_route,S28386,Android,AIRPORT,1035,1
AE00152,C0134,O00890,2025-10-28 12:42:00,payment_retry,S79279,iOS,East,609,1
AE00153,C0540,,2024-10-28 03:03:00,search_route,S92690,Android,Ctr,360,1
AE00154,C0096,O00813,2025-04-03 00:09:00,track_order,S26942,iOS,Riverside,187,1
AE00155,C0256,O01136,2025-06-19 05:14:00,search_route,S78880,iOS,EAST,780,1
AE00156,C0004,O00998,2025-05-12 19:56:00,chat_opened,S19094,Android,NORTH,618,1
AE00157,C0568,O01041,2025-07-05 07:53:00,chat_opened,S94050,Android,East,669,1
AE00158,C0444,O00239,2024-05-01 10:17:00,track_order,S64444,Android,SOUTH,558,1
AE00159,C0057,O01073,2025-10-10 01:20:00,search_route,S80676,Android,South,100,1
AE00160,C0351,,2025-09-12 22:47:00,chat_opened,S51613,Android,CENTRAL,264,1
AE00161,C0308,O00031,2024-06-16 16:40:00,search_route,S73430,iOS,EAST,635,1
AE00162,C0277,,2024-10-19 12:25:00,cancel_attempt,S90878,iOS,RiverSide,477,1
AE00163,C0159,O00703,2025-05-30 03:46:00,search_route,S29863,Android,SOUTH,586,1
AE00164,C0028,O00547,2025-10-13 18:52:00,eta_refresh,S21845,Android,WEST,330,1
AE00165,C0211,O01203,2024-11-20 00:04:00,track_order,S42312,iOS,WEST,141,1
AE00166,C0152,,2024-08-21 15:08:00,chat_escalated,S45482,iOS,SOUTH,60,1
AE00167,C0327,,2024-05-24 08:39:00,track_order,S97782,Android,Central,450,1
AE00168,C0428,O00991,2024-11-13 12:22:00,track_order,S94225,Android,Central,160,1
AE00169,C0236,O01007,2025-09-20 00:31:00,payment_retry,S31565,Android,AIRPORT,252,1
AE00170,C0602,,2025-05-24 11:07:00,track_order,S40147,iOS,WEST,642,1
AE00171,C0219,,2024-12-05 01:18:00,chat_opened,S45451,iOS,AIRPORT,659,1
AE00172,C0636,,2024-10-27 02:36:00,eta_refresh,S15954,iOS,WEST,564,1
AE00173,C0604,O00323,2024-05-12 11:14:00,eta_refresh,S59591,Web,West,772,1
AE00174,C0516,,2024-10-17 18:43:00,track_order,S79217,iOS,West,418,1
AE00175,C0027,O00040,2025-03-22 09:30:00,chat_opened,S27542,iOS,North,828,1
AE00176,C0443,O00475,2025-04-19 23:45:00,track_order,S99435,iOS,East,530,1
AE00177,C0431,,2025-10-20 04:30:00,chat_opened,S90018,Android,Airport,338,1
AE00178,C0022,,2024-05-23 05:09:00,delivery_instruction_update,S15462,Android,East,186,1
AE00179,C0634,O00605,2024-04-20 23:19:00,delivery_instruction_update,S52206,Android,NORTH,231,1
AE00180,C0003,O00599,2024-04-05 22:39:00,cancel_attempt,S48720,Android,AIRPORT,282,1
AE00181,C0602,,2024-08-15 12:23:00,chat_opened,S38965,iOS,East,413,1
AE00182,C0438,O01213,2025-04-26 09:51:00,eta_refresh,S29723,Android,WEST,328,1
AE00183,C0227,,2024-04-07 12:16:00,payment_retry,S65322,iOS,RiverSide,76,1
AE00184,C0383,O00290,2025-06-28 12:11:00,eta_refresh,S10919,Android,AIRPORT,673,1
AE00185,C0540,O00636,2024-01-01 04:02:00,payment_retry,S50299,Web,EAST,550,1
AE00186,C0297,O00033,2024-01-09 21:50:00,delivery_instruction_update,S98196,Web,AIRPORT,811,1
AE00187,C0500,,2024-04-03 04:53:00,track_order,S84399,iOS,RiverSide,516,1
AE00188,C0576,,2025-03-10 15:20:00,chat_opened,S72332,iOS,SOUTH,376,1
AE00189,C0491,O00686,2024-08-03 12:43:00,chat_opened,S98299,iOS,CENTRAL,320,1
AE00190,C0006,O00220,2024-12-25 13:57:00,track_order,S89254,Web,West,407,1
AE00191,C0559,O00582,2024-03-06 18:13:00,search_route,S57395,Android,Ctr,304,1
AE00192,C0415,O00091,2025-04-04 13:39:00,eta_refresh,S25456,Web,Riverside,238,1
AE00193,C0558,O00320,2024-08-10 19:31:00,payment_retry,S70607,iOS,AIRPORT,1701,1
AE00194,C0502,,2025-04-13 13:31:00,track_order,S92171,Web,Riverside,291,1
AE00195,C0182,O00489,2024-02-12 12:39:00,track_order,S88300,iOS,RiverSide,553,1
AE00196,C0308,O01227,2024-07-18 11:53:00,payment_retry,S74695,iOS,Airport,280,0
AE00197,C0287,,2024-01-05 09:57:00,track_order,S12792,iOS,South,222,1
AE00198,C0229,,2025-11-10 12:31:00,payment_retry,S61126,iOS,RiverSide,321,1
AE00199,C0458,O00502,2025-03-05 09:23:00,track_order,S54839,Android,East,794,1
AE00200,C0422,O00420,2025-11-13 01:11:00,eta_refresh,S20454,Android,RiverSide,574,1
AE00201,C0139,O00783,2024-08-12 08:07:00,eta_refresh,S79498,Android,WEST,60,1
AE00202,C0190,O00008,2024-12-31 22:36:00,track_order,S46827,Android,Riverside,747,1
AE00203,C0050,O01110,2024-11-28 23:16:00,eta_refresh,S88874,iOS,north,792,1
AE00204,C0370,O00390,2025-10-21 12:12:00,search_route,S14150,iOS,Airport,414,1
AE00205,C0565,O01188,2025-12-02 17:43:00,search_route,S65549,iOS,West,521,1
AE00206,C0540,O00860,2025-08-10 13:22:00,track_order,S41049,iOS,CENTRAL,423,1
AE00207,C0611,O00360,2025-09-30 05:26:00,track_order,S85216,iOS,North,443,1
AE00208,C0492,O00439,2024-07-18 08:06:00,delivery_instruction_update,S14892,iOS,East,729,1
AE00209,C0311,O00549,2025-06-25 21:11:00,search_route,S69288,iOS,EAST,479,1
AE00210,C0066,O00764,2025-10-17 10:22:00,track_order,S97799,Android,north,610,1
AE00211,C0154,O00597,2025-03-10 18:31:00,chat_opened,S23758,iOS,North,273,1
AE00212,C0050,O00656,2024-12-09 02:17:00,chat_escalated,S30429,Web,Airport,474,0
AE00213,C0165,O00825,2025-12-31 01:59:00,cancel_attempt,S21498,Android,WEST,337,1
AE00214,C0036,O00929,2024-11-19 16:32:00,chat_escalated,S95975,iOS,CENTRAL,60,1
AE00215,C0408,,2024-11-04 12:36:00,eta_refresh,S99032,Web,RiverSide,753,1
AE00216,C0353,O00689,2025-02-15 06:05:00,track_order,S56502,Android,West,193,1
AE00217,C0489,O00452,2024-04-22 18:38:00,track_order,S41923,iOS,East,523,1
AE00218,C0638,O00997,2024-07-11 07:41:00,search_route,S93085,Android,Airport,137,1
AE00219,C0495,O00473,2024-11-06 10:57:00,cancel_attempt,S46630,iOS,CENTRAL,371,1
AE00220,C0469,O00413,2025-10-02 15:05:00,search_route,S61687,iOS,Airport,1046,1
AE00221,C0309,O01074,2025-08-16 01:12:00,delivery_instruction_update,S93181,Android,WEST,584,1
AE00222,C0511,O00539,2024-09-13 09:38:00,search_route,S16455,Android,West,606,1
AE00223,C0506,,2025-01-05 02:35:00,eta_refresh,S19581,Android,Riverside,717,1
AE00224,C0611,,2025-12-03 15:48:00,chat_escalated,S69785,Android,NORTH,433,1
AE00225,C0105,O00659,2025-07-03 18:05:00,search_route,S69038,Android,South,401,1
AE00226,C0259,O00918,2025-07-10 21:37:00,track_order,S12105,Android,Central,581,1
AE00227,C0194,O00918,2024-06-11 02:54:00,delivery_instruction_update,S26318,iOS,Riverside,241,1
AE00228,C0220,O01213,2024-03-18 10:58:00,track_order,S31464,Android,north,261,1
AE00229,C0392,O00450,2024-01-29 03:08:00,track_order,S32859,iOS,RiverSide,484,1
AE00230,C0467,O00698,2025-06-02 00:55:00,payment_retry,S79237,Web,WEST,368,1
AE00231,C0375,O00188,2024-02-28 00:09:00,chat_opened,S62538,iOS,Riverside,394,1
AE00232,C0475,O00336,2025-06-10 10:39:00,chat_opened,S19410,iOS,North,614,1
AE00233,C0144,O00990,2025-09-06 23:35:00,search_route,S25207,Web,SOUTH,440,1
AE00234,C0447,O00068,2025-05-16 04:24:00,search_route,S16617,iOS,CENTRAL,718,1
AE00235,C0102,O00065,2024-07-28 16:08:00,track_order,S32192,Android,EAST,531,1
AE00236,C0215,O00722,2024-08-23 22:05:00,payment_retry,S66874,iOS,Airport,478,1
AE00237,C0375,O00581,2024-05-26 13:58:00,eta_refresh,S75980,Android,EAST,339,1
AE00238,C0611,O00098,2024-10-30 02:43:00,delivery_instruction_update,S27480,Web,Airport,321,1
AE00239,C0291,O00746,2025-03-15 03:20:00,chat_escalated,S83143,iOS,RiverSide,215,1
AE00240,C0109,O00771,2025-12-08 03:46:00,chat_opened,S68728,Android,Ctr,895,1
AE00241,C0024,O00814,2024-06-28 06:51:00,chat_opened,S22478,iOS,RiverSide,624,1
AE00242,C0070,O00627,2024-04-18 10:54:00,delivery_instruction_update,S59972,iOS,CENTRAL,792,1
AE00243,C0217,O00878,2024-07-05 13:59:00,chat_opened,S89574,Android,north,646,1
AE00244,C0355,O01236,2024-02-17 00:42:00,chat_escalated,S49312,Android,East,487,0
AE00245,C0159,O00570,2025-06-25 22:42:00,search_route,S22380,Web,SOUTH,757,1
AE00246,C0173,O00188,2025-09-26 08:26:00,search_route,S73690,iOS,EAST,490,1
AE00247,C0056,,2025-05-04 18:58:00,delivery_instruction_update,S49126,Android,East,734,1
AE00248,C0558,O01118,2024-02-14 07:02:00,payment_retry,S95292,iOS,RiverSide,488,1
AE00249,C0120,,2025-10-20 11:10:00,payment_retry,S60781,Android,South,591,0
AE00250,C0409,,2024-03-20 14:32:00,delivery_instruction_update,S80264,Web,Riverside,553,1
AE00251,C0623,O00162,2024-02-16 23:07:00,payment_retry,S96369,Android,CENTRAL,375,1
AE00252,C0202,O00936,2024-04-24 05:08:00,track_order,S97343,iOS,AIRPORT,278,1
AE00253,C0485,O01098,2025-12-13 20:05:00,chat_escalated,S76383,Android,WEST,799,1
AE00254,C0419,O00265,2024-03-19 05:42:00,track_order,S69799,iOS,East,543,1
AE00255,C0563,O00972,2024-04-11 10:46:00,payment_retry,S15134,Android,Central,376,1
AE00256,C0447,O00220,2025-10-08 16:41:00,delivery_instruction_update,S35671,Android,South,466,1
AE00257,C0643,,2025-07-16 12:39:00,eta_refresh,S34258,iOS,Ctr,545,1
AE00258,C0489,O00812,2025-09-24 21:15:00,payment_retry,S53794,Web,RiverSide,60,0
AE00259,C0055,O01208,2025-06-21 16:57:00,delivery_instruction_update,S66374,iOS,West,247,1
AE00260,C0109,O00932,2024-10-25 12:28:00,cancel_attempt,S74608,Web,Airport,350,1
AE00261,C0433,O00167,2025-02-10 10:12:00,search_route,S51615,Android,Riverside,236,1
AE00262,C0079,O00532,2024-12-21 16:48:00,search_route,S78668,Web,East,392,1
AE00263,C0330,O01163,2024-02-14 18:08:00,track_order,S98156,Web,RiverSide,60,1
AE00264,C0134,,2024-02-25 19:03:00,track_order,S46151,iOS,WEST,60,1
AE00265,C0192,O01137,2024-11-06 03:00:00,chat_opened,S53981,Android,Central,1240,1
AE00266,C0378,O00856,2024-12-12 10:44:00,search_route,S22322,Android,Airport,536,1
AE00267,C0473,,2024-09-19 05:09:00,eta_refresh,S55731,iOS,Riverside,542,1
AE00268,C0377,O01202,2024-05-04 16:58:00,eta_refresh,S22564,iOS,WEST,429,1
AE00269,C0325,O00863,2025-08-15 22:29:00,delivery_instruction_update,S64498,Android,Riverside,304,1
AE00270,C0578,O00326,2025-09-09 01:15:00,chat_opened,S29661,Android,AIRPORT,503,1
AE00271,C0322,O01193,2025-10-19 21:23:00,search_route,S43982,Web,NORTH,627,1
AE00272,C0338,O01203,2025-03-02 04:57:00,eta_refresh,S33897,iOS,East,190,1
AE00273,C0433,O01067,2024-05-28 05:11:00,track_order,S48118,Web,Riverside,134,1
AE00274,C0049,O01167,2025-09-27 15:25:00,track_order,S94086,Android,Riverside,495,1
AE00275,C0485,O00676,2024-06-12 17:54:00,delivery_instruction_update,S57005,Android,North,279,1
AE00276,C0111,O01221,2025-01-21 11:43:00,search_route,S73488,Android,South,300,1
AE00277,C0580,O00409,2024-12-26 15:48:00,payment_retry,S59602,Android,WEST,552,0
AE00278,C0337,O01073,2024-11-12 03:16:00,chat_opened,S88214,Android,Ctr,421,1
AE00279,C0112,O01215,2025-02-20 21:24:00,track_order,S90848,Android,NORTH,582,1
AE00280,C0456,O00907,2025-12-31 18:05:00,track_order,S12463,iOS,NORTH,251,1
AE00281,C0310,O00397,2024-03-06 12:05:00,search_route,S39460,Android,South,457,1
AE00282,C0234,,2024-08-08 19:03:00,chat_opened,S29738,iOS,West,1007,1
AE00283,C0589,O00589,2024-09-19 14:25:00,payment_retry,S32645,Android,SOUTH,362,1
AE00284,C0604,O00371,2025-10-26 11:28:00,search_route,S76025,Android,East,60,1
AE00285,C0440,O00539,2025-12-25 16:11:00,search_route,S17327,iOS,Airport,414,1
AE00286,C0358,,2024-02-18 07:54:00,search_route,S60811,iOS,CENTRAL,364,1
AE00287,C0573,O00074,2024-05-02 05:45:00,search_route,S30431,Android,East,571,1
AE00288,C0273,O00480,2025-07-21 17:12:00,cancel_attempt,S63671,Android,north,60,1
AE00289,C0207,O00654,2024-03-02 10:12:00,payment_retry,S19707,Android,RiverSide,343,1
AE00290,C0399,O00951,2025-08-01 22:46:00,delivery_instruction_update,S84446,Android,East,457,1
AE00291,C0312,O00330,2024-12-17 21:44:00,track_order,S95883,Android,WEST,405,1
AE00292,C0520,O00929,2025-10-16 23:21:00,eta_refresh,S72274,iOS,north,60,1
AE00293,C0073,O00609,2024-07-10 13:17:00,chat_escalated,S78813,Android,WEST,1074,1
AE00294,C0492,O00876,2025-11-27 02:21:00,track_order,S33068,Android,WEST,405,1
AE00295,C0449,O01002,2025-03-30 00:14:00,payment_retry,S13138,Android,WEST,246,1
AE00296,C0471,O00635,2025-06-30 16:35:00,eta_refresh,S10325,Android,RiverSide,187,1
